Year,CBSA_Name,CBSA_Code,Total_Population,Population_Density,Median_Household_Income_USD,Poverty_Rate_Pct,Education_HS_Degree_Plus_Pct,Education_Bachelors_Degree_Plus_Pct,Labor_Force_Participation_Rate_Pct,Unemployment_Rate_Pct
2010,"Atlanta-Sandy Springs-Roswell, GA",12060,5288302,631.3561204,53182,11.36829258,84.11553312,53.35978173,7.831855531,15.72529644
2011,"Atlanta-Sandy Springs-Roswell, GA",12060,5365726,640.599563,52639,12.78367116,83.75720768,53.39236027,7.893615526,15.23039291
2012,"Atlanta-Sandy Springs-Roswell, GA",12060,5442113,649.7192011,54628,13.18299689,84.20198992,54.42185584,7.858235464,12.27618401
2013,"Atlanta-Sandy Springs-Roswell, GA",12060,5524693,659.5782047,55733,11.98497515,84.53905312,54.2086721,7.900304572,11.95817337
2014,"Atlanta-Sandy Springs-Roswell, GA",12060,5611829,669.9811368,56166,11.85531861,84.66960904,54.73382732,7.56438058,8.062130178
2015,"Atlanta-Sandy Springs-Roswell, GA",12060,5709731,681.6693927,60219,10.7363639,84.90161159,55.27843804,7.807914482,6.579018917
2016,"Atlanta-Sandy Springs-Roswell, GA",12060,5790210,691.2775635,62613,9.740299141,84.95903136,56.05154319,7.660492508,6.037359658
2017,"Atlanta-Sandy Springs-Roswell, GA",12060,5882450,702.2898485,65381,8.808646944,85.75799474,56.28297826,7.390492216,5.280709787
2018,"Atlanta-Sandy Springs-Roswell, GA",12060,5950828,710.4533136,69464,8.3931924,85.8914662,56.83272081,7.856970363,4.877198796
2019,"Atlanta-Sandy Springs-Roswell, GA",12060,6018744,718.5616218,71742,7.49311764,85.93905445,57.26121595,7.344525481,4.941582998
2021,"Atlanta-Sandy Springs-Roswell, GA",12060,6144970,733.6314036,77589,8.763099223,86.28868957,58.39952516,7.390535152,4.572372631
2022,"Atlanta-Sandy Springs-Roswell, GA",12060,6222908,742.9362114,84876,7.352815826,87.15934283,58.08472963,7.420423446,4.063177243
2023,"Atlanta-Sandy Springs-Roswell, GA",12060,6305839,752.8371199,86505,7.752205286,86.21895166,57.97012,7.753064761,4.521346342
