Year,CBSA_Name,CBSA_Code,Annual_VMT_Million_Miles,Traffic_Density_Index
2010,"Atlanta-Sandy Springs-Roswell, GA",12060,95000.0,1.95
2011,"Atlanta-Sandy Springs-Roswell, GA",12060,95880.5,1.96
2012,"Atlanta-Sandy Springs-Roswell, GA",12060,96711.2,1.97
2013,"Atlanta-Sandy Springs-Roswell, GA",12060,97604.1,1.98
2014,"Atlanta-Sandy Springs-Roswell, GA",12060,98402.6,1.99
2015,"Atlanta-Sandy Springs-Roswell, GA",12060,99055.9,2.00
2016,"Atlanta-Sandy Springs-Roswell, GA",12060,99912.4,2.02
2017,"Atlanta-Sandy Springs-Roswell, GA",12060,100850.7,2.04
2018,"Atlanta-Sandy Springs-Roswell, GA",12060,101567.3,2.05
2019,"Atlanta-Sandy Springs-Roswell, GA",12060,102290.5,2.07
2020,"Atlanta-Sandy Springs-Roswell, GA",12060,86940.1,1.76
2021,"Atlanta-Sandy Springs-Roswell, GA",12060,93500.8,1.89
2022,"Atlanta-Sandy Springs-Roswell, GA",12060,98012.3,1.99
2023,"Atlanta-Sandy Springs-Roswell, GA",12060,99580.4,2.02
2024,"Atlanta-Sandy Springs-Rosswell, GA",12060,100511.9,2.04
2025,"Atlanta-Sandy Springs-Roswell, GA",12060,101340.2,2.05
2010,"Chicago-Naperville-Elgin, IL-IN-WI",16980,120000.0,2.60
2011,"Chicago-Naperville-Elgin, IL-IN-WI",16980,120150.8,2.61
2012,"Chicago-Naperville-Elgin, IL-IN-WI",16980,120390.4,2.62
2013,"Chicago-Naperville-Elgin, IL-IN-WI",16980,120560.9,2.62
2014,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121025.3,2.63
2015,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121377.6,2.64
2016,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121901.1,2.65
2017,"Chicago-Naperville-Elgin, IL-IN-WI",16980,122345.5,2.66
2018,"Chicago-Naperville-Elgin, IL-IN-WI",16980,122905.7,2.68
2019,"Chicago-Naperville-Elgin, IL-IN-WI",16980,123411.0,2.69
2020,"Chicago-Naperville-Elgin, IL-IN-WI",16980,104899.4,2.28
2021,"Chicago-Naperville-Elgin, IL-IN-WI",16980,113002.1,2.45
2022,"Chicago-Naperville-Elgin, IL-IN-WI",16980,119055.8,2.58
2023,"Chicago-Naperville-Elgin, IL-IN-WI",16980,120412.3,2.61
2024,"Chicago-Naperville-Elgin, IL-IN-WI",16980,121400.9,2.64
2025,"Chicago-Naperville-Elgin, IL-IN-WI",16980,122010.5,2.65
2010,"Dallas-Fort Worth-Arlington, TX",19100,105000.0,1.80
2011,"Dallas-Fort Worth-Arlington, TX",19100,106500.9,1.82
2012,"Dallas-Fort Worth-Arlington, TX",19100,108010.4,1.85
2013,"Dallas-Fort Worth-Arlington, TX",19100,109555.7,1.88
2014,"Dallas-Fort Worth-Arlington, TX",19100,111302.5,1.91
2015,"Dallas-Fort Worth-Arlington, TX",19100,113110.8,1.94
2016,"Dallas-Fort Worth-Arlington, TX",19100,115004.9,1.98
2017,"Dallas-Fort Worth-Arlington, TX",19100,117099.1,2.01
2018,"Dallas-Fort Worth-Arlington, TX",19100,119312.3,2.05
2019,"Dallas-Fort Worth-Arlington, TX",19100,121501.7,2.09
